VOCs,NM1,NM2,NM3,NM4,AM1,AM2,AM3,AM4,NMP1,NMP2,NMP3,NMP4,AMP1,AMP2,AMP3,AMP4
trans-1-Nitro-1-propene,914541.2089,694348.469,1020768.899,1435127.021,816073.4066,1025015.011,1237058.828,967400.927,1005066.313,1083298.347,1012560.281,919364.1688,992830.1705,1000644.988,1150557.736,1014428.538
2-Propenamide,4473516.973,3094232.982,4592385.067,7348866.765,3651649.731,4600477.691,5592040.536,5226185.245,5126221.673,5162286.866,4852506.299,4581403.296,5084432.262,4842754.121,5157746.767,4916032.171
2-Propenoyl chloride,1369090.731,1320767.961,1222696.104,2433187.766,1921195.503,1441872.298,1430538.767,1476849.328,1452383.955,1399296.505,1345524.558,1250305.718,1398831.163,1453007.215,1379450.581,1226625.376
Cyclohexane,6233841.028,7127481.886,6496347.184,12365385.45,8361655.408,6707575.374,6224661.67,6487816.835,6832929.128,6657013.179,6676438.246,6158223.372,6625591.311,6922825.497,6837582.525,6454385.978
"2-Butenal, 2-methyl-",3193318.12,3352047.828,1753402.899,3229860.426,2421756.806,1760069.277,1859998.874,2294179.474,622075.6466,837217.2448,783803.3101,714952.9348,1144743.427,670411.5873,836162.6988,630108.7825
3-Penten-2-one,59631.05711,73204.93819,67178.28773,87489.27126,81150.87568,56748.9598,68241.30259,55598.52554,82660.47417,69663.57674,121259.1076,173807.1522,73001.35668,135965.108,88958.14564,101381.1678
Pyridine,1779588.585,1795041.171,1636179.538,1669394.203,1063137.519,1370725.534,2023163.457,1183428.319,1128260.278,1637276.45,1330216.678,1293873.597,1584655.906,895339.8142,1011873.406,987806.214
"2-Pentenal, (E)-",686835.3824,714323.7044,510087.7119,807283.6892,830238.962,603688.4361,756165.0695,843539.1988,251128.0882,238854.003,248370.6368,255712.8834,287939.2123,292813.9249,318550.0428,287893.5127
Toluene,188057.3397,166141.0589,222839.7444,288889.9535,231833.2738,188761.0849,42453.1525,88051.40008,197209.6083,77929.49246,173024.0354,183931.2875,128919.2047,120956.892,56635.99646,190877.8621
"2-Penten-1-ol, (Z)-",2333006.608,2145125.364,1737310.229,2519571.003,2189354.812,2157647.035,2713166.642,2242660.372,995762.859,996308.8087,1021345.503,1167619.191,1368735.363,1089545.071,1143956.078,1157676.461
4-Hexen-3-one,295210.5466,426879.8368,300813.2093,295114.6955,310621.8827,338705.0119,279742.7814,291152.2017,32186.32001,87336.09337,48065.30736,85167.04235,168080.504,230990.8387,136940.6906,109008.5028
Hexanal,353326.3171,342043.7169,452561.1747,594425.6219,606790.4319,860823.3148,489498.5117,582844.1844,56106.25543,92708.21948,68051.1972,107471.4594,662025.7421,374935.2081,322769.7015,175040.9395
"3-Methylpenta-1,3-diene-5-ol, (E)-",389690.009,683516.104,425293.4791,468586.439,370688.7166,368365.063,405842.0271,410813.3557,69785.235,128568.5668,74982.73837,122372.1168,264837.3637,284148.2152,234862.3044,187308.6155
"2-Hexenal, (E)-",12768846.33,20271986.91,12576286.29,15100642.11,11358379.13,11120091.36,11346279.2,12355951.71,2041721.088,3737852.399,2103996.458,3907195.673,7792562.344,7715215.296,7013506.183,5914381.84
"3-Hexen-1-ol, (Z)-",3525808.964,4746991.897,3887580.544,9826205.79,2908098.381,5433434.818,8799842.463,4822654.875,2741734.431,2016592.82,2979633.398,2530052.754,1844812.017,3301343.476,2689893.845,4860398.217
Cyclohexanol,853544.9574,1398182.402,769913.7696,1116427.513,693910.6791,420497.4758,602387.7391,658880.6282,246045.959,525018.4915,120112.3657,573223.6936,300567.6722,393510.7374,307460.7759,457805.9866
1-Hexanol,4947171.679,4328999.247,6032080.504,8124930.555,5934910.51,6059611.562,5695823.674,6732301.617,2424837.999,4323697.582,2397580.304,3809166.086,5076260.395,3210899.134,4984318.29,4211606.968
2-Heptanone,4524176.009,4450582.066,4168368.464,4570615.121,4021438.328,3564675.327,3215069.868,3421557.915,3890759.119,5157218.007,3769518.369,4180427.537,4161483.437,2917530.998,3884503.767,2947120.78
Heptanal,78210.7313,79638.4616,94409.26699,86750.10236,130745.3932,105102.3848,101362.224,106431.9722,107163.994,126056.7458,86034.18059,103840.4247,121158.4017,94478.23492,106457.7256,86565.77413
"2-Heptenal, 2-methyl-",11513.05183,40796.13252,22586.78861,21588.57605,7566.40857,28864.71874,28011.76845,13985.43859,274283.6695,110756.6183,320996.7068,187180.5166,90507.68706,160161.7879,60749.20211,389939.0779
"Hexanal, 2-ethyl-",202850.8563,489583.2522,295654.635,381407.0523,297416.5942,258290.1261,354053.284,446722.9708,358280.0498,321485.3637,342238.2077,377788.8828,194176.1167,305632.2081,292569.5916,513198.7718
"2-Heptenal, (Z)-",126772.2806,264243.4109,287831.1187,226218.9571,168481.4501,158475.5602,149061.2685,163661.7014,667872.8215,527756.8395,1047324.509,863416.4221,471106.5302,718491.8189,508872.5437,690767.4674
Benzaldehyde,2429127.141,6288711.865,4450760.291,4220559.599,3015669.597,3848757.531,4497948.625,7007029.865,19884530.75,3611330.347,23254606.41,18668570.37,5198577.964,5351577.943,4215181.515,6249302.464
"Benzene, 1,2,4-trimethyl-",838181.5308,889178.0179,867535.9995,848105.3552,790221.636,709907.4318,616878.1267,709176.7593,805148.3385,793496.0682,774772.1481,673142.3279,716131.5138,615680.0162,777273.3425,624457.7518
1-Octen-3-one,10895404.35,13719968.48,6539295.457,8082169.842,4273112.598,2004153.819,2460274.267,3760769.037,3042178.621,4086862.813,3797562.632,4962493.85,2071270.37,4434383.665,3114117.499,3759270.151
1-Octen-3-ol,3184258.201,3314427.957,3289441.131,3451775.256,3779441.492,1939594.728,1545530.902,2433673.261,1032551.616,1134888.528,1072471.444,1133430.457,528183.7605,813080.7402,379039.453,544428.7036
3-Octanone,395175.2191,287480.7702,429691.4482,631250.7137,393652.5247,380799.53,646603.175,487565.6544,1656414.949,1758499.467,1022141.909,986586.6978,816953.2349,682219.4527,1595063.175,1363215.101
"2-Heptanone, 4,6-dimethyl-",215961.6456,278626.2166,212121.3952,188910.4779,178202.4364,163405.1312,146518.9005,192848.3278,229937.308,287701.9328,191040.7991,201536.8302,179792.1167,160733.8968,203620.6257,163890.9023
"Bicyclo[3.1.1]heptane, 6,6-dimethyl-2-methylene-, (1S)-",182500.7446,258023.8016,326291.5543,271111.1339,190777.3222,248490.9732,167538.0987,170039.5075,789429.7212,1029317.883,795066.8311,1065129.883,416329.2375,296608.0529,388386.72,512968.4104
"3-Penten-2-one, 3-ethyl-4-methyl-",65687.17182,276885.3438,95029.55218,188767.8491,107716.6952,117840.4168,95659.63091,153098.6935,593365.1911,521842.1788,627516.1138,526179.5881,233388.3736,337047.8886,315920.6118,451353.4822
"2,4-Heptadienal, (E,E)-",14814056.26,10728673.27,15050036.17,15154138.81,16510218.96,15633164.8,16819770.44,15814581.26,7062940.753,9987732.3,7771663.689,8810272.906,9917714.381,9244100.904,11527794.07,10028506.31
"Decane, 4-methyl-",47542.37761,66513.92981,49445.33547,41493.62758,39143.72334,47265.61338,61228.64264,53222.55426,0,0,0,0,39353.80263,54085.63288,29273.76225,51691.49197
"1-Hexanol, 2-ethyl-",6886647.144,18015445.68,9305459.984,13523774.85,8667164.531,9165720.81,9325612.074,11469844.37,18662191.34,12052050.67,15637920,12643945.62,5903413.314,10424163.98,6287217.181,14764884.41
Benzyl alcohol,5112136.16,13834247.39,6523683.333,1753690.945,4173072.612,14201261.43,13872989.24,10177955.52,14078522.33,9931546.669,11826878.02,16277131.82,15881797.78,12798909.54,9176830.736,22167230.53
3-Octen-2-one,68991.36575,56784.07507,93186.38331,75575.51786,107057.0096,79076.46274,59342.4651,64629.16434,178907.896,144534.154,196559.1403,185574.0655,114457.6573,124966.9747,138855.8988,125416.2109
Benzeneacetaldehyde,554904.1493,1351215.446,1046794.615,545490.5614,427707.6685,318273.6662,377870.3799,489403.9129,1776456.916,880800.6074,3156334.75,2418140.353,1685282.472,2191906.719,1765273.544,1908915.528
